ID,HIGH_PRICE,LOW_PRICE,SYMBOL,SMA_50,SMA_200,EMA_50,EMA_200,RSI,STOCHASTIC,MACD,CCI,WILLIAMS_R,SIGNAL
200,25200,25190,BGOR,1378.82,9399.635,1118.9006442618515,5671.363069595785,9.153994371,-250320,-283.3602185,-60.60606061,-250420,Buy
201,25200,25190,BGOR,1321.38,9392.175,1081.2061297962944,5608.016101432692,9.153994371,-250320,-268.9210891,-55.55555556,-250420,Buy
202,25200,25190,BGOR,1263.94,9384.715,1044.9907650725293,5545.493223689474,9.153994371,-250320,-254.543753,-51.28205128,-250420,Buy
203,25200,25190,BGOR,1206.5,9377.255,1010.1964724064816,5483.781524933705,9.153994371,-250320,-240.3786748,-47.61904762,-250420,Buy
204,25200,25190,BGOR,1149.06,9369.795,976.7674571958756,5422.868346523942,9.153994371,-250320,-226.541321,-44.44444444,-250420,Buy
205,25200,25190,BGOR,1091.62,9362.335,944.6501179623164,5362.741276475119,9.153994371,-250320,-213.1184219,-41.66666667,-250420,Buy
206,25200,25190,BGOR,1034.18,9354.875,913.7929599538844,5303.388143502476,9.153994371,-250320,-200.1732056,-39.21568627,-250420,Buy
207,25200,25190,BGOR,976.74,9347.415,884.1465121660885,5244.797011237953,9.153994371,-250320,-187.7497659,-37.03703704,-250420,Buy
208,25200,25190,BGOR,919.3,9339.955,855.6632476447992,5186.956172613261,9.153994371,-250320,-175.8767033,-35.0877193,-250420,Buy
209,25200,25190,BGOR,861.86,9332.495,828.2975069403016,5129.854144404039,9.153994370529103,-250320,-164.5701534,0,-250420,Buy
210,25200,25190,BGOR,804.42,9325.035,802.0054245869177,5073.479661929734,9.153994371,-250320,-153.836302,0,-250420,Buy
211,25200,25190,BIKF,765.54,9322.215,813.1448707315511,5028.32942,82.22428793236097,-241040,-69.64497908,666.6666666667327,-241140,Buy
212,25200,25190,BIKF,726.66,9319.395,823.8472909627753,4983.751608988139,82.22428793236097,-241040,-2.889441416,333.33333333332905,-241140,Buy
213,25200,25190,BIKF,687.78,9316.575,834.1298377727366,4939.737597742822,82.22428793236097,-241040,49.44483386364169,222.22222222222223,-241140,Buy
214,25200,25190,BIKF,648.9,9313.755,844.0089899128349,4896.278916918355,82.22428793236097,-241040,89.88399730044034,166.66666666666055,-241140,Buy
215,25200,25190,BIKF,610.02,9310.935,853.5005789,4853.3672545752615,82.22428793236097,-241040,120.54278349963658,133.33333333333334,-241140,Buy
216,25200,25190,BIKF,571.14,9308.115,862.6198145,4810.994453,82.22428793236097,-241040,143.18949310299956,111.11111111110988,-241140,Buy
217,25200,25190,BIKF,532.26,9305.295,871.3813090499609,4769.1525036322255,82.22428793236097,-241040,159.30085255745212,95.23809523809524,-241140,Buy
218,25200,25190,BIKF,493.38,9302.475,879.7991012229809,4727.833546734406,82.22428793236097,-241040,170.10831819775024,83.33333333333334,-241140,Buy
219,25200,25190,BIKF,503.04,9299.655,887.8866783,4687.029864961203,82.22428793236097,-241040,176.63714947493247,74.07407407407408,-241140,Buy
220,25200,25190,BIKF,512.7,9296.835,895.6569981,4646.733882,82.22428793236097,-241040,179.73937170662873,66.66666666666667,-241140,Buy
221,25200,25190,BIKF,522.36,9294.015,903.1225094051016,4606.938157,82.22428793236097,-241040,180.12157577184223,60.60606060606046,-241140,Buy
222,25200,25190,BIKF,532.02,9157.695,910.2951726,4567.635387010671,82.22428793236097,-241040,178.36835587111966,55.55555555555556,-241140,Buy
223,25200,25190,BIKF,541.68,9021.875,917.1864781370964,4528.818396,82.22428793236097,-241040,174.96206271960057,51.282051282051285,-241140,Buy
224,25200,25190,BIKF,551.34,8886.05,923.8074657,4490.48014,82.22428793236097,-241040,170.29944486334375,47.61904761904948,-241140,Buy
225,25200,25190,BIKF,561,8750.23,930.1687413190148,4452.613696383296,82.22428793236097,-241040,164.70566227096765,44.44444444444375,-241140,Buy
226,25200,25190,BIKF,570.66,8614.41,936.2804948737823,4415.212269071948,82.22428793236097,-241040,158.44608146758503,41.66666666666912,-241140,Buy
227,25200,25190,BIKF,580.32,8479.09,942.1525161565108,4378.269179955942,82.22428793236097,-241040,151.7361981433669,39.21568627450854,-241140,Buy
228,25200,25190,BIKF,589.98,8344.515,947.7942107135364,4341.777868740909,82.22428793236097,-241040,144.74997960566475,37.037037037039454,-241140,Buy
229,25200,25190,BIKF,599.64,8210.05,953.2146149,4305.731889977843,82.22428793236097,-241040,137.62687414614695,35.08771929824996,-241140,Buy
230,25200,25190,BIKF,609.3,8076.23,958.4224104675774,4270.124910585642,82.22428793236097,-241040,130.47769608930355,0,-241140,Buy
231,25200,25190,BIKF,618.96,7941.69,963.4259383265712,4234.950707437874,82.22428793236097,-241040,123.38956289845146,0,-241140,Buy
232,25200,25190,BIM,966.92,7894.2,1631.6283445106585,4386.854127,99.74789234,-71890,1465.774762673158,666.6666666666652,-71990,Buy
233,25200,25190,BIM,1314.88,7854.705,2273.6219479551514,4536.918618760004,99.74789234,-71890,2500.7970728935325,333.3333333333325,-71990,Buy
234,25200,25190,BIM,1662.84,7816.96,2890.434912969023,4685.170005224622,99.74789234,-71890,3283.2128763665496,222.22222222222217,-71990,Buy
235,25200,25190,BIM,2010.8,7779.965,3483.055055,4831.6336694794445,99.74789234,-71890,3858.801179641802,166.66666666666654,-71990,Buy
236,25200,25190,BIM,2358.76,7743.47,4052.431427008087,4976.334562328433,99.74789234,-71890,4265.785734291736,133.3333333333334,-71990,Buy
